category,authorLocation,requiredFunding,targetAudience,success
education,unknown,170935,commuters patients teachers,0
infrastructure,urban,263496,farmers patients developers seniors tourists commuters youth commuters seniors farmers smes patients youth commuters seniors youth parents commuters seniors parents,1
education,unknown,245952,teachers smes smes,0
other,inland,123225,teachers developers seniors seniors seniors farmers teachers farmers farmers parents patients seniors smes tourists seniors farmers smes tourists teachers tourists,1
technology,unknown,57575,tourists tourists patients teachers developers commuters farmers smes teachers commuters tourists tourists smes parents teachers youth commuters developers farmers youth teachers developers tourists teachers youth commuters youth smes commuters commuters,1
technology,urban,196835,patients farmers developers smes commuters commuters tourists teachers teachers tourists teachers teachers commuters patients teachers seniors developers commuters tourists tourists smes farmers parents tourists seniors tourists teachers tourists developers tourists,1
education,suburban,48696,teachers patients tourists seniors developers smes teachers tourists teachers smes smes seniors developers developers commuters seniors smes smes farmers youth,1
healthcare,urban,6398,commuters teachers commuters youth smes farmers patients youth smes commuters,1
technology,inland,217881,tourists seniors youth smes teachers patients smes youth patients parents commuters parents teachers tourists farmers patients farmers smes teachers youth,1
technology,suburban,152771,patients smes seniors youth patients developers commuters smes commuters youth,1
other,rural,251877,smes developers smes teachers smes seniors teachers patients seniors tourists farmers youth patients youth youth parents smes youth tourists seniors,0
technology,suburban,278943,smes seniors parents,1
healthcare,unknown,77593,teachers parents smes commuters developers tourists smes teachers seniors tourists farmers patients patients youth farmers farmers youth parents developers tourists tourists commuters farmers tourists smes youth youth patients developers commuters,1
infrastructure,inland,7941,patients developers teachers smes tourists developers tourists smes smes parents,1
infrastructure,unknown,21631,patients patients youth,1
agriculture,unknown,74347,commuters developers patients farmers farmers smes teachers tourists youth farmers developers teachers seniors parents tourists seniors parents seniors parents youth commuters teachers parents seniors commuters seniors seniors tourists youth teachers,1
agriculture,rural,29552,smes smes patients parents patients tourists patients teachers developers farmers developers commuters youth patients smes farmers teachers farmers developers developers tourists developers developers patients smes teachers seniors farmers seniors farmers,1
infrastructure,urban,168040,parents tourists smes farmers seniors patients smes tourists developers commuters,1
technology,urban,2989,teachers teachers commuters teachers developers developers teachers seniors patients smes patients teachers smes smes developers parents developers parents tourists smes,1
agriculture,urban,118710,teachers commuters teachers commuters tourists smes commuters commuters farmers teachers commuters farmers farmers parents patients tourists smes teachers parents parents farmers youth patients smes farmers farmers developers parents teachers patients,1
